username,user_id,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
redhed67,40601473,2018-02-07 05:57,0,0,Facebook #HOAX says your news feed will be limited to status updates from 25 friends https:// usat.ly/2nQ2MKe via @usatoday,,@usatoday,#HOAX,961207248503672832,https://twitter.com/redhed67/status/961207248503672832
AShakhshir,36012935,2018-02-08 08:41,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXqj9 #Mashable,,,#Mashable,961610848362938368,https://twitter.com/AShakhshir/status/961610848362938368
SthrnFrdScl,3419149469,2018-02-08 08:19,0,1,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed https:// mashable.com/2018/02/08/fac ebook-news-feed-26-friends-rumor-see-first-how-to/#md8y.ztkH5O0 … via @mashable,,@mashable,#md8y,961605326582812674,https://twitter.com/SthrnFrdScl/status/961605326582812674
Algocracy,764531097241726976,2018-02-08 00:27,0,0,Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It http:// ift.tt/2nUqqoG,,,,961486590026698752,https://twitter.com/Algocracy/status/961486590026698752
Mahadihossainu,3073438634,2018-02-08 08:05,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// ift.tt/2sgQ38P,,,,961601824137637888,https://twitter.com/Mahadihossainu/status/961601824137637888
_oftoday_,3843176999,2018-02-07 01:10,0,0,"http:// news.of.today | Telling the untold - "" Facebook limiting status updates in news feed to 25 friends? That&apos;s a hoax, pass it on"" @http:// dscn.me/zGg #news",,@http,#news,961134978758258689,https://twitter.com/_oftoday_/status/961134978758258689
Anandokarmoker1,1917936444,2018-02-08 08:14,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News FeedThat '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// ift.tt/2EOoLZV,,,,961604076940288000,https://twitter.com/Anandokarmoker1/status/961604076940288000
rumanmahmudbd,716104896961843200,2018-02-08 08:01,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// ift.tt/2sgQ38P,,,,961600874211631107,https://twitter.com/rumanmahmudbd/status/961600874211631107
beviralarm,840107996747198465,2018-02-07 17:51,0,0,"Facebook isn’t proscribing your News Feed to 26 buddies, it doesn’t matter what a viral hoax claims http://www. viralarm.com/en/facebook-is nt-proscribing-your-news-feed-to-26-buddies-it-doesnt-matter-what-a-viral-hoax-claims/ … pic.twitter.com/W8e5TYprv7",,,,961386853982199809,https://twitter.com/beviralarm/status/961386853982199809
Ruth_v_abe,843863575714177024,2018-02-06 20:45,0,1,"Facebook limiting status updates in news feed to 25 friends? That's a hoax, pass it on pic.twitter.com/52MzCgd8Hn",,,,961068475010764800,https://twitter.com/Ruth_v_abe/status/961068475010764800
chrisfrazer3,706198784,2018-02-15 13:41,0,1,"Facebook isn't restricting your News Feed to 26 friends, no matter what a viral hoax claims http:// wapo.st/2nR8Qlt?tid=ss _tw-amp …",,,,964223101847330817,https://twitter.com/chrisfrazer3/status/964223101847330817
DrFritzMcat,26405309,2018-02-09 22:52,0,0,"Don’t Fall for this Hoax. Always fact check nonsense Facebook limiting status updates in news feed to 25 friends? That's a hoax, pass it on https:// usat.ly/2nQ2MKe via @USATODAY .",,@USATODAY,,962187377933369345,https://twitter.com/DrFritzMcat/status/962187377933369345
Kbit_co,768861681455771648,2018-02-08 07:58,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXYLN pic.twitter.com/e4AtcJLueu,,,,961600030607007744,https://twitter.com/Kbit_co/status/961600030607007744
sannim1,248160823,2018-02-08 08:14,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// ift.tt/2EPSody pic.twitter.com/yuxGeafZ2P,,,,961604099732135936,https://twitter.com/sannim1/status/961604099732135936
LauraKhabbazone,485930257,2018-02-08 08:45,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXsNn,,,,961612025066438656,https://twitter.com/LauraKhabbazone/status/961612025066438656
ChrisAdamTweets,219877344,2018-02-08 08:10,0,0,That '26 friends' Facebook rumor was a hoax &#8212; but here's how you can actually game the News Feed http:// feeds.mashable.com/~r/Mashable/~3 /HmU1AVtrb4c/ …,,,#8212,961603051881578496,https://twitter.com/ChrisAdamTweets/status/961603051881578496
Chaxiracy,2243938148,2018-02-08 02:01,0,0,"http:// bit.ly/1Qeenu6 #Pamplona http:// bit.ly/1SUs93W Facebook isn't restricting your News Feed to 26 friends, no matter what a viral hoax claims http:// ift.tt/2BKIcnI",,,#Pamplona,961510334367522816,https://twitter.com/Chaxiracy/status/961510334367522816
